Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4582951,,None,587.13,2,5.27,SY-1365,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N[C@@]2(C)CCC[C@@H](Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)C2)nc1,IC50,'=',914,nM,6.04,,,UO_0000065,10.29,0.2,0.77,4.72,0,CHEMBL4611863,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4610077,1,Scientific Literature,J Med Chem,2020,None,,,,914
CHEMBL5181709,,None,458.61,0,4.74,20,Cc1nc2ccc(-c3ccnc4[nH]c(C5CCN(CC(=O)N(C)C)CC5)cc34)cc2n1C(C)C,IC50,'<',3,nM,,,,UO_0000065,,,,,0,CHEMBL5098674,Inhibition of CDK9 (unknown origin) using FITC-X-GSRTPMY-NH2 as substrate preincubated for 10 mins followed by substrate addition and measured after 90 mins in the presence of 5 mM ATP by plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5096204,1,Scientific Literature,J Med Chem,2021,None,TIME = 1.667 hr,INHIBITOR,,0.003
CHEMBL5177440,,None,407.52,0,2.9,34,CNC(=O)CN1CCC(c2cc3c(-c4ccc(=O)n(C(C)C)c4)ccnc3[nH]2)CC1,IC50,'=',10,nM,8,,,UO_0000065,19.63,0.36,5.1,9.64,0,CHEMBL5098674,Inhibition of CDK9 (unknown origin) using FITC-X-GSRTPMY-NH2 as substrate preincubated for 10 mins followed by substrate addition and measured after 90 mins in the presence of 5 mM ATP by plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5096204,1,Scientific Literature,J Med Chem,2021,None,TIME = 1.667 hr,INHIBITOR,,0.01
CHEMBL5191725,,None,336.44,0,3.44,40,CC(C)n1cc(-c2ccnc3[nH]c(C4CCNCC4)cc23)ccc1=O,IC50,'<',3,nM,,,,UO_0000065,,,,,0,CHEMBL5098674,Inhibition of CDK9 (unknown origin) using FITC-X-GSRTPMY-NH2 as substrate preincubated for 10 mins followed by substrate addition and measured after 90 mins in the presence of 5 mM ATP by plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5096204,1,Scientific Literature,J Med Chem,2021,None,TIME = 1.667 hr,INHIBITOR,,0.003
CHEMBL5175957,,None,423.52,0,2.2,22,COc1cc(=O)n(C)cc1-c1ccnc2[nH]c(C3CCN(CC(=O)N(C)C)CC3)cc12,IC50,'>',3000,nM,,,,UO_0000065,,,,,0,CHEMBL5098675,Inhibition of CDK9 in human MCF7 cells assessed as reduction in RNA polymerase II phosphorylation at ser2 residue incubated for 6 hrs by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5096204,1,Scientific Literature,J Med Chem,2021,None,TIME = 6.0 hr,,,3
CHEMBL5198594,,None,491.64,0,3.48,30,CN(C)C(=O)CN1CCC(c2cc3c(-c4ccc(=O)n(CCC5CCOCC5)c4)ccnc3[nH]2)CC1,IC50,'>',3000,nM,,,,UO_0000065,,,,,0,CHEMBL5098675,Inhibition of CDK9 in human MCF7 cells assessed as reduction in RNA polymerase II phosphorylation at ser2 residue incubated for 6 hrs by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5096204,1,Scientific Literature,J Med Chem,2021,None,TIME = 6.0 hr,,,3
CHEMBL445813,AT-7519,2,382.25,0,2.45,AT7519,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,IC50,'=',10,nM,8,,,UO_0000065,20.93,0.44,5.55,8.09,1,CHEMBL5230720,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5230096,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR,,10
CHEMBL3668457,,None,397.45,0,2.82,A-1467729,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(O)CO)CC3)cc12,IC50,'=',1.2,nM,8.92,,,UO_0000065,22.45,0.42,6.1,10.93,1,CHEMBL5224480,Inhibition of CDK9 (unknown origin) by LANCE ULight TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5223102,1,Scientific Literature,RSC Med Chem,2022,None,,INHIBITOR,,1.2
CHEMBL4846069,,None,285.35,0,2.87,Cpd 1,COc1ccc(CC(=O)Nc2cc(C3CCC3)[nH]n2)cc1,IC50,'=',1080,nM,5.97,,,UO_0000065,20.91,0.39,3.1,8.9,1,CHEMBL5224489,Inhibition of CDK9 in human HCT-116 cells assessed as decrease in substrate phosphorylation using RB as substrate measured after 6 hrs by western blot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HCT-116,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5223102,1,Scientific Literature,RSC Med Chem,2022,None,TIME = 6.0 hr,INHIBITOR,,1080
CHEMBL2089034,,None,459.55,0,3.01,8c,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N3C[C@H](O)C[C@H]3CO)nc21,IC50,'=',450,nM,6.35,,,UO_0000065,13.81,0.25,3.34,5.66,0,CHEMBL2090653,Inhibition of human recombinant CDK9/cyclin T expressed in baculovirus-infected insect cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL2086256,1,Scientific Literature,Eur J Med Chem,2012,None,,,,0.45
CHEMBL5421134,,None,237.26,0,2.33,43,NC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,IC50,'=',711.4,nM,6.15,,,UO_0000065,25.91,0.47,3.82,8.57,0,CHEMBL5348833,Inhibition of CDK9/Cyclin T1 (unknown origin) preincubated for 10 mins followed by substrate addition measured for 60 to 120 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5346907,1,Scientific Literature,Eur J Med Chem,2023,None,TIME_Lower = 70.0 min | TIME_Upper = 130.0 min,INHIBITOR,,711.4
CHEMBL5275973,,None,249.7,0,1.36,PHA-767491,Cl.O=C1NCCc2[nH]c(-c3ccncc3)cc21,IC50,'=',34,nM,7.47,,,UO_0000065,35.02,0.64,6.11,12.93,0,CHEMBL5224411,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5223102,1,Scientific Literature,RSC Med Chem,2022,None,,INHIBITOR,,34
CHEMBL4846069,,None,285.35,0,2.87,Cpd 1,COc1ccc(CC(=O)Nc2cc(C3CCC3)[nH]n2)cc1,IC50,'=',1080,nM,5.97,,,UO_0000065,20.91,0.39,3.1,8.9,1,CHEMBL5224491,Inhibition of CDK9 in human HCT-116 cells assessed as decrease in substrate phosphorylation using RPB1 as substrate measured after 6 hrs by western blot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HCT-116,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5223102,1,Scientific Literature,RSC Med Chem,2022,None,TIME = 6.0 hr,INHIBITOR,,1080
CHEMBL359963,GW805758X,None,330.4,0,4.05,UNC10112785,CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,IC50,'=',20,nM,7.7,,,UO_0000065,23.3,0.42,3.65,11.32,0,CHEMBL5224430,Inhibition of CDK9/Cyclin K (unknown origin) by LanthaScreen binding assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL3038475,CDK9/Cyclin K,Homo sapiens,PROTEIN COMPLEX,CHEMBL5223102,1,Scientific Literature,RSC Med Chem,2022,None,,INHIBITOR,,20
CHEMBL1782168,,None,249.27,0,2.72,32; 9AZA,O=C1Cc2c([nH]c3ccncc23)-c2ccccc2N1,IC50,'=',220,nM,6.66,,,UO_0000065,26.71,0.48,3.94,11.52,0,CHEMBL5227480,Inhibition of CDK9/Cyclin T (unknown origin),B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL5291961,CDK9/Cyclin T,Homo sapiens,PROTEIN COMPLEX GROUP,CHEMBL5226304,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR,,0.22
CHEMBL14762,SELICICLIB,2,354.46,0,3.2,2,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,IC50,'=',1050,nM,5.98,,,UO_0000065,16.87,0.31,2.78,6.8,0,CHEMBL4403344,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4402527,1,Scientific Literature,Eur J Med Chem,2019,None,,,,1050
CHEMBL4454044,,None,423.57,0,3.4,14; LDC3140,CC(C)c1cnn2c(NCc3ccccc3N(C)C)nc(OC3CCN(C)CC3)nc12,IC50,'=',7450,nM,5.13,,,UO_0000065,12.11,0.23,1.73,7.24,0,CHEMBL4403344,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4402527,1,Scientific Literature,Eur J Med Chem,2019,None,,,,7450
CHEMBL4303287,,None,566.07,2,6.33,24; THZ2,CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1,IC50,'=',134,nM,6.87,,,UO_0000065,12.14,0.23,0.54,5.97,0,CHEMBL4403344,Inhibition of CDK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4402527,1,Scientific Literature,Eur J Med Chem,2019,None,,,,134
CHEMBL2006765,,None,392.39,0,3.82,5,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,IC50,'=',5330,nM,5.27,,,UO_0000065,13.44,0.26,1.45,5.57,0,CHEMBL4007695,Inhibition of CDK9 (unknown origin) after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4007384,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,5.33
CHEMBL445340,,None,271.32,0,1.54,Jan-87,CC(C)C1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,IC50,'=',31,nM,7.51,,,UO_0000065,27.67,0.51,5.97,7.77,0,CHEMBL1019786,Inhibition of CDK9,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1139384,1,Scientific Literature,J Med Chem,2009,None,,,,0.031
CHEMBL4081668,,None,241.22,0,2.35,5b,O=Cc1cccc(-c2cnc3ccc(F)nn23)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,10
CHEMBL4085467,,None,297.67,0,4.07,10a,FC(F)(F)c1ccc(-c2cnc3ccc(Cl)nn23)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,10
CHEMBL4090770,,None,321.38,0,3.06,11a,CC[C@@H](CO)Nc1ccc2ncc(-c3ccc4[nH]ccc4c3)n2n1,IC50,'=',2800,nM,5.55,,,UO_0000065,17.28,0.32,2.49,7.1,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,2.8
CHEMBL4062820,,None,321.38,0,3.06,11b,CC[C@@H](CO)Nc1ccc2ncc(-c3cc4ccccc4[nH]3)n2n1,IC50,'=',1100,nM,5.96,,,UO_0000065,18.54,0.34,2.9,7.62,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,1.1
CHEMBL4067477,,None,331.81,0,2.81,11j,CC[C@@H](CO)Nc1ccc2ncc(-c3cc(Cl)ccc3N)n2n1,IC50,'=',3400,nM,5.47,,,UO_0000065,16.48,0.32,2.66,6.18,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,3.4
CHEMBL4070189,,None,360.44,0,1.98,11m,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(S(C)(=O)=O)c3)n2n1,IC50,'=',1100,nM,5.96,,,UO_0000065,16.53,0.33,3.98,6.17,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,1.1
CHEMBL4084364,,None,299.34,0,0.95,11r,CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc(N)n3)n2n1,IC50,'=',2200,nM,5.66,,,UO_0000065,18.9,0.35,4.71,4.95,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,2.2
CHEMBL4071013,,None,357.85,0,2.16,16,OCCN1CCN(c2ccc3ncc(-c4cccc(Cl)c4)n3n2)CC1,IC50,'=',1000,nM,6,,,UO_0000065,16.77,0.33,3.84,10.54,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,1
CHEMBL4064988,,None,395.94,0,4.5,17,Clc1cccc(-c2cnc3ccc(N4CCC(N5CCCCC5)CC4)nn23)c1,IC50,'=',620,nM,6.21,,,UO_0000065,15.68,0.3,1.71,16.93,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,0.62
CHEMBL4076663,,None,397.48,0,2.08,20c,CC[C@H](CO)NC(=O)c1cccc(-c2cnc3ccc(N[C@H](CC)CO)nn23)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,10
CHEMBL4067420,,None,273.32,0,1.92,21e,COc1ccc2ncc(-c3ccnc(SC)n3)n2n1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4041958,Inhibition of human recombinant CDK9/cyclin T expressed in insect cells using CDK7/9-tide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4041493,1,Scientific Literature,Eur J Med Chem,2017,None,,,,10
CHEMBL490355,SULFURETIN,None,270.24,0,2.42,67,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,IC50,'=',2160,nM,5.67,,,UO_0000065,20.96,0.39,3.25,6.51,0,CHEMBL4014537,Inhibition of human CDK9,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4014275,1,Scientific Literature,Eur J Med Chem,2017,None,,,,2.16
CHEMBL1922123,,None,383.5,0,3.38,alphaR-25,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,IC50,'=',210,nM,6.68,,,UO_0000065,17.41,0.33,3.3,6.63,0,CHEMBL1926135,Inhibition of CDK9/cyclin T1,B,BAO_0000223,protein complex format,None,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL1921760,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,0.21
CHEMBL1922212,,None,383.5,0,3.38,alphaS-25,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,IC50,'=',160,nM,6.8,,,UO_0000065,17.72,0.33,3.42,6.74,0,CHEMBL1926135,Inhibition of CDK9/cyclin T1,B,BAO_0000223,protein complex format,None,None,None,None,None,,,,CHEMBL2111389,CDK9/cyclin T1,Homo sapiens,PROTEIN COMPLEX,CHEMBL1921760,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,0.16
